车牌号,车辆类型编码,车辆名称,排档方式,每日租金
鄂AW123Q,1,大众朗逸, 1.6自动,135.00
鄂AW223Q,1,大众朗逸, 1.6手动,110.00
湘AA323Q,1,别克英朗, 1.5自动,116.00
湘AA4257,1,别克英朗, 1.5自动,116.00
鄂BC424Q,1,大众凌渡, 1.4自动,181.00
鄂BR224Q,2,雪佛兰迈锐宝, 1.5T自动,199.00
赣C3123T,2,大众帕萨特, 1.8T自动,271.00
赣C3124T,2,丰田凯美瑞, 2.0T自动,160.00
赣C3125T,2,别克君越, 2.4自动,187.00
赣AB1267,2,大众帕萨特, 1.8T自动,210.00
赣AC1275,3,沃尔沃S90, 2.0T自动,463.00
赣DC128T,3,宝马3系, 2.0T自动,596.00
鄂A2345Q,3,凯迪拉克XTS, 2.0T自动,512.00
鄂A3456Q,3,奥迪A6, 1.8T自动,578.00
鄂AW123U,3,路虎发现神行, 2.0T自动,672.00
鄂AW12UY,4,雪佛兰科帕奇, 2.4自动,221.00
鄂AW12TU,4,别克昂科拉, 1.4T自动,154.00
湘AB323Q,4,宝沃BX5, 1.4T自动,127.00
湘AB4257,4,宝沃BX6, 2.0T自动,168.00
湘AB4G25,5,2017别克GL8, 2.4自动,501.00
湘AB4H59,5,本田奥德赛, 2.4自动,366.00
湘AB4J60,5,本田奥德赛, 2.4自动,366.00
